,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,U11,U12,U13,U14,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31
U11,0.996613342267652,0.9936251259219102,0.9950873711496686,0.9912913201644842,0.9914541220345576,0.9933327359671454,0.9960872994221128,0.9946947393697013,0.9987589202497131,0.9923543651404215,0.9999999999999998,0.9963550830509239,0.9969082731741434,0.9962014661080195,0.9420031298251882,0.9672173233809785,0.9139124623032641,0.9279372408375889,0.9024451952021312,0.9336660152105345,0.9178999347816901,0.9562016811281767,0.9179428998480357,0.9661666408860595,0.9394679279151483
U12,0.9964574848459871,0.9959245809579692,0.9952722026354978,0.9934444918680346,0.9939901140050245,0.9953730917352918,0.9948797036048738,0.9924694264356083,0.9969063779900844,0.9874290426529723,0.9963550830509239,1.0000000000000002,0.992947689637997,0.9945768310228832,0.9447317346992727,0.9741745338211689,0.9382729178799862,0.9480634192961241,0.9049056104295251,0.9549078068908329,0.9370776993327543,0.9655648768456226,0.9371414334919573,0.9771693744472748,0.9473523288791568
U13,0.9974472404951993,0.9930068003611702,0.9959966694658035,0.9933423265665282,0.9925891171431802,0.9916156100334937,0.991972171007795,0.9925633051042834,0.9985522548552385,0.9928951902871991,0.9969082731741434,0.992947689637997,1.0000000000000002,0.9960973296113979,0.95829528059329,0.972991149723156,0.9154015784410546,0.9292717357660252,0.9134661788703676,0.9307658975312042,0.9280575769092669,0.9596903854868623,0.9316007416417323,0.9670313169893257,0.9572219873409772
U14,0.998680381715779,0.9952647149002882,0.9943801836027283,0.9970652428009859,0.9913637537261165,0.9971340842011274,0.9960321892830704,0.9965478739471687,0.9969936792598586,0.9949797670202073,0.9962014661080195,0.9945768310228832,0.9960973296113979,1.0,0.9493736225924568,0.9830943675909334,0.931819196059084,0.9372996006625925,0.9336260082339236,0.946351016777248,0.9356954311062458,0.96692031637841,0.9407887209290136,0.9709723610667189,0.9555552430393008
U21,0.9508523895072565,0.9601720950527638,0.9428316384620374,0.9445030701608103,0.9507592080112738,0.9364137217194737,0.9481091319079561,0.936765791617393,0.9527252040487387,0.9328237128811943,0.9420031298251882,0.9447317346992727,0.95829528059329,0.9493736225924568,0.9999999999999999,0.9591626256884495,0.910095604095393,0.9472487624443621,0.924899595869204,0.9327659980426081,0.9617865834216422,0.9600611265921987,0.9577663407784772,0.9588449833848446,0.9755797369325782
U22,0.9798520605322765,0.9810446752559806,0.9693687027645657,0.9828766857125657,0.9684771723264661,0.9784478933272124,0.9763962794925468,0.9727248840069924,0.9739707842916845,0.9694882763062568,0.9672173233809785,0.9741745338211689,0.972991149723156,0.9830943675909334,0.9591626256884495,0.9999999999999999,0.9558440208785424,0.9557120251758762,0.9627275680738209,0.9672183512966632,0.9654016909986273,0.9652886109800519,0.9754668503756704,0.9760858964113703,0.9801759328742999
U23,0.9352423390869895,0.9465685289714141,0.92206600509436,0.9404862967543929,0.934499864355959,0.9382457696626725,0.9224019449172269,0.9146455454470637,0.9191503213761725,0.9103932056007097,0.9139124623032641,0.9382729178799862,0.9154015784410546,0.931819196059084,0.910095604095393,0.9558440208785424,1.0,0.9824873054681263,0.9162971510645862,0.9871733703702047,0.9818442113172693,0.9632361083614464,0.9607494967767952,0.9694693316423807,0.9278287424078423
U24,0.9419405947082459,0.9619290577869053,0.9287408127779201,0.937558399905587,0.9462458770074789,0.9354086278304715,0.9361263495299849,0.9185036127952054,0.9329708783969941,0.9145911756516567,0.9279372408375889,0.9480634192961241,0.9292717357660252,0.9372996006625925,0.9472487624443621,0.9557120251758762,0.9824873054681263,0.9999999999999999,0.9081595756215312,0.9884527621828043,0.9850286565493989,0.9761479815940197,0.957451773931784,0.9887337391849005,0.9421241020689303
U25,0.9229202864677698,0.9251462210729285,0.9054078031467768,0.9305726548407862,0.910276937970375,0.9267974505104835,0.9228415279814213,0.9246696146402649,0.9097737706019923,0.9230893098293006,0.9024451952021312,0.9049056104295251,0.9134661788703676,0.9336260082339236,0.924899595869204,0.9627275680738209,0.9162971510645862,0.9081595756215312,1.0,0.9266053542128108,0.9392707722167613,0.9492789041518054,0.9561865572285506,0.9137450472024227,0.9424173282622279
U26,0.9457668323569013,0.9608852417990217,0.9322294301029056,0.9464671324282008,0.9427655549781271,0.949343090952318,0.9494097778350219,0.9343969153885846,0.9377981383184038,0.9204739578657399,0.9336660152105345,0.9549078068908329,0.9307658975312042,0.946351016777248,0.9327659980426081,0.9672183512966632,0.9871733703702047,0.9884527621828043,0.9266053542128108,1.0,0.9847311482764726,0.9707362428433939,0.9649199653928169,0.9778656745118477,0.9345351383838431
U27,0.9371981548370999,0.9508599483837619,0.9228075785371433,0.9387952880937924,0.9355623134300604,0.9342563201899605,0.9308248852481638,0.9184327955585048,0.9272213358964063,0.9102030754699689,0.9178999347816901,0.9370776993327543,0.9280575769092669,0.9356954311062458,0.9617865834216422,0.9654016909986273,0.9818442113172693,0.9850286565493989,0.9392707722167613,0.9847311482764726,1.0,0.9727693010562815,0.9800342288708263,0.9711199844933474,0.9572911042279013
U28,0.9685868771184891,0.9787875963146893,0.9608917394891321,0.9672505578848932,0.9754949971136525,0.966620464408898,0.9626338535050558,0.9589396698467644,0.9599516942384395,0.9578656389776448,0.9562016811281767,0.9655648768456226,0.9596903854868623,0.96692031637841,0.9600611265921987,0.9652886109800519,0.9632361083614464,0.9761479815940197,0.9492789041518054,0.9707362428433939,0.9727693010562815,1.0,0.9655154990165612,0.9757277133271322,0.9525765516428162
U29,0.9409822111808347,0.9463338593345457,0.9346271286115037,0.950456090257172,0.9421778326255168,0.9434890215398096,0.9329593477650815,0.9328035722125951,0.9323689369925607,0.9261082552689988,0.9179428998480357,0.9371414334919573,0.9316007416417323,0.9407887209290136,0.9577663407784772,0.9754668503756704,0.9607494967767952,0.957451773931784,0.9561865572285506,0.9649199653928169,0.9800342288708263,0.9655154990165612,1.0,0.9522379655957055,0.9798171587197059
U30,0.9750560410667741,0.9872925433071179,0.9644241881192471,0.9689155513594717,0.9740233603899567,0.9655192473045529,0.9674767235056648,0.9539109856027438,0.9692104474795502,0.9548294931500565,0.9661666408860595,0.9771693744472748,0.9670313169893257,0.9709723610667189,0.9588449833848446,0.9760858964113703,0.9694693316423807,0.9887337391849005,0.9137450472024227,0.9778656745118477,0.9711199844933474,0.9757277133271322,0.9522379655957055,1.0,0.9603418876385185
U31,0.957919836452896,0.9593819100719693,0.9528431220272648,0.9608930907479947,0.9558864939585197,0.9487829005136472,0.9435222975110055,0.9432898850755808,0.9530438894856773,0.9486150684464737,0.9394679279151483,0.9473523288791568,0.9572219873409772,0.9555552430393008,0.9755797369325782,0.9801759328742999,0.9278287424078423,0.9421241020689303,0.9424173282622279,0.9345351383838431,0.9572911042279013,0.9525765516428162,0.9798171587197059,0.9603418876385185,1.0000000000000002
