Cluster 1,Cluster 2,Cluster 3
U01,U21,U23
U02,,
U03,,
U04,,
U05,,
U06,,
U07,,
U08,,
U09,,
U10,,
U11,,
U12,,
U13,,
U14,,
U22,,
