File,Random Forest,Decision Tree,Logistic Regression,Neural Network
U01_data.csv,0.0019086023354372423,0.0035722085521764325,0.03095805289674583,0.00867209545214964
U02_data.csv,0.0015417845883677636,0.0027996817431941586,0.027143074394603072,0.006817239005328627
U03_data.csv,0.002774183270673904,0.004734919421292453,0.030030838470311527,0.011181280649334107
U04_data.csv,0.002841236955992594,0.004835613538236739,0.03062406451003118,0.010315912863123226
U05_data.csv,0.00197553555995752,0.0036366698203411704,0.031352782152229086,0.009568184593442977
U06_data.csv,0.0021012742520372667,0.0042112805811694125,0.032303228698328156,0.009669362431858708
U07_data.csv,0.002052752519514195,0.0037002598848145355,0.027285020176770463,0.007877597699392063
U08_data.csv,0.003304325155074748,0.005696382174796025,0.03237051751556707,0.011898883253817166
U09_data.csv,0.0023851504546197277,0.0040934079808692065,0.03129425160897264,0.010471924416977908
U10_data.csv,0.0017233314631887164,0.003241314462287287,0.03073621292062165,0.008079769163144932
U11_data.csv,0.0025004760540252814,0.0036499222513759256,0.030950534350554147,0.00955225962370522
U12_data.csv,0.0021314820605221343,0.004412563962827531,0.02764132603645013,0.007233582423767061
U13_data.csv,0.0026794482977414652,0.004615413503320513,0.029782514064494288,0.010469308608823969
U14_data.csv,0.002123257760069874,0.0034027896930135483,0.028337059989902148,0.007709456513519967
U21_data.csv,0.0024414916011529877,0.002408317086192966,0.05346715378798923,0.0023724629509033627
U22_data.csv,0.006055339184229896,0.008476735785798715,0.04639047715265955,0.008600801835547862
U23_data.csv,0.002337661329304743,0.005843017045951262,0.03917997671195943,0.005026629238853743
U24_data.csv,0.0003716422395339026,0.000801910816449495,0.013494929324215775,0.0010725625044993182
U25_data.csv,0.0,0.00021715526601520088,0.00821840144112131,0.00021715526601520088
U26_data.csv,0.0007065692607113643,0.0010979645352821202,0.02042633796258658,0.0018303120350334507
U27_data.csv,0.0006897125006865316,0.00039156160876792644,0.026095226362463517,0.0006579040840522565
U28_data.csv,0.0008390290336054559,0.0026847771337452837,0.05018004479381455,0.0030187708866108013
U29_data.csv,0.00076877017344971,0.0010405394588986914,0.03140715201110627,0.002029618009245161
U30_data.csv,0.002644615235584371,0.005603342443619407,0.038442693505264934,0.003966353522545243
U31_data.csv,0.00013539128080151638,0.0012421398917583798,0.035854721164774755,0.0008050697345367638
