File,Random Forest,Decision Tree,Logistic Regression,Neural Network
U01_data.csv,0.9657780056395796,0.9361702127659575,0.4507818508074853,0.8447833888746475
U02_data.csv,0.9729040912139504,0.9509054325955735,0.5230046948356808,0.8795439302481556
U03_data.csv,0.9506392045454546,0.9154829545454546,0.4728338068181818,0.8006036931818182
U04_data.csv,0.9495843874232021,0.9139862667148536,0.4627755692085291,0.8169497650885436
U05_data.csv,0.9648003779825183,0.9352704937396645,0.440231514292464,0.8293172690763052
U06_data.csv,0.9625639644492324,0.9248586049016967,0.4291677888499865,0.8280366280635605
U07_data.csv,0.9636235955056179,0.9344101123595505,0.5271067415730337,0.8606741573033708
U08_data.csv,0.9420114036151886,0.8989445590197743,0.4350357879412835,0.7901249545068543
U09_data.csv,0.9574027510723265,0.9269338855198935,0.4438692501109303,0.813784943055761
U10_data.csv,0.9693269803454437,0.9423764145324598,0.46247766527695056,0.8566110780226325
U11_data.csv,0.9555555555555556,0.9348982785602504,0.45837245696400625,0.8309859154929577
U12_data.csv,0.962018544935806,0.9213623395149786,0.5064194008559201,0.871077032810271
U13_data.csv,0.9524894240156199,0.9179954441913439,0.474129515131793,0.8148389196225188
U14_data.csv,0.9619667208807706,0.9390716877267609,0.49418240960840737,0.8618791442512198
U21_data.csv,0.9903536977491961,0.9903536977491961,0.7884244372990353,0.9903536977491961
U22_data.csv,0.9762872628726287,0.9668021680216802,0.8184281842818428,0.9661246612466124
U23_data.csv,0.988295165394402,0.9720101781170484,0.8101781170483461,0.9745547073791349
U24_data.csv,0.9984358706986444,0.9963503649635036,0.9379562043795621,0.9953076120959332
U25_data.csv,1.0,0.9991031390134529,0.9695067264573991,0.9991031390134529
U26_data.csv,0.9966577540106952,0.9946524064171123,0.9004010695187166,0.9906417112299465
U27_data.csv,0.996859296482412,0.9981155778894473,0.8743718592964824,0.996859296482412
U28_data.csv,0.9960496613995485,0.9875846501128668,0.7556433408577878,0.9853273137697517
U29_data.csv,0.9964639321074965,0.995049504950495,0.8500707213578501,0.9900990099009901
U30_data.csv,0.9875518672199171,0.9734439834024896,0.816597510373444,0.9800829875518672
U31_data.csv,0.9993346640053227,0.9940119760479041,0.8283433133732535,0.9960079840319361
