Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
U01,U21,U22,U23,U25
U02,,,U24,
U03,,,U26,
U04,,,U27,
U05,,,,
U06,,,,
U07,,,,
U08,,,,
U09,,,,
U10,,,,
U11,,,,
U12,,,,
U13,,,,
U14,,,,
